,,,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
41,Age 0 to 20,Est.,34694,0.0014411713841009973,0.0034299878941603736,0.008992909436790222,0.0011817605349628178,0.0836744105609039,0.008502911166195884,0.023952268403758574,0.009511731135066582,0.012480544186314637,0.21608923733210353,0.03868103994927077,0.0017005822332391768,0.0017582290886032166,0.023519916988528275,0.012221133337176457,0.0009223496858246382,0.002680578774427855,0.008099383178647605,0.006427624373090448,0.0,0.02187698161065314,0.13526834611171962,0.015651121231336832,0.009050556292154262,0.0,0.007061739782094887,0.003228223900386234,0.0012970542456908975,0.018735227993312963,0.007580561480371246,0.060673315270651985,0.0016717588055571568,0.0611344901135643,0.012480544186314637,0.007811148901827406,0.019686401106819622,0.006456447800772468,0.003718222170980573,0.016775234910935608,0.0,0.005879979247132069,0.0,0.011644664783536058,0.05378451605464922,0.01086643223612152,0.0,0.014786418400876232,0.018331700005764687,0.0008358794027785784,0.008243500317057704,0.00020176399377413963
42,,%,9.60%,6.00%,37.40%,11.60%,8.30%,7.90%,10.50%,5.40%,42.00%,25.90%,10.30%,12.60%,5.80%,14.70%,15.70%,18.70%,4.50%,10.00%,28.80%,9.30%,0.00%,10.70%,7.70%,13.20%,13.00%,0.00%,13.40%,37.30%,12.80%,17.30%,11.10%,6.90%,5.60%,8.30%,7.90%,40.90%,15.40%,36.20%,6.30%,6.90%,0.00%,6.60%,0.00%,24.30%,10.20%,11.60%,0.00%,8.20%,14.40%,9.60%,22.30%,18.40%
43,Age 21 to 34,Est.,111158,0.00229403191853038,0.000701703880962234,0.004884938555929398,0.0015563432231598265,0.09886827758685834,0.011227262095395743,0.04507997625002249,0.000683711473758074,0.0033825725543820506,0.15285449540293997,0.024703575091311467,0.0033195991291674913,0.0021321002536929417,0.018415228773457602,0.007898666762626171,0.002446967379765739,0.0023300167329387,0.0038773637524964467,0.008348476942730167,0.0011964950790766297,0.01844221738426384,0.18453912448946544,0.010813436729700067,0.009365047949765198,0.0013314381331078285,0.003337591536371651,0.000701703880962234,0.0010165710070350312,0.01281059392936181,0.0077367350977887335,0.08451033663793879,0.0018082369240180643,0.06585221036722504,0.01283758254016805,0.00234800914014286,0.016624984256643695,0.00046780258730815596,0.005262779107216754,0.03670451069648608,0.002114107846488782,0.013116464851832526,0.0002878785152665575,0.0036254700516382085,0.05508375465553536,0.009967793591104553,0.0,0.019962575793015348,0.015617409453210745,0.0007466848989726336,0.006765145108764101,0.0
44,,%,30.70%,30.50%,24.50%,20.10%,35.10%,29.80%,44.50%,32.40%,9.70%,22.50%,23.30%,25.80%,36.10%,57.20%,39.30%,38.70%,38.30%,27.90%,44.10%,38.60%,35.40%,29.00%,33.50%,29.10%,42.90%,41.70%,20.20%,26.00%,32.10%,38.00%,36.30%,31.00%,19.40%,28.50%,25.90%,39.40%,41.60%,8.40%,28.60%,48.20%,18.80%,47.40%,37.60%,24.20%,33.40%,34.00%,0.00%,35.50%,39.20%,27.60%,58.70%,0.00%
45,Age 35 to 64,Est.,194292,0.0025116834455355857,0.000622773969077471,0.008512959874827579,0.0011580507689457106,0.10493484034340066,0.0056409939678422165,0.04462355629670805,0.0019558190764416444,0.0035359150145142363,0.2121806353323863,0.03219895826899718,0.0030521071377102504,0.0005970395075453441,0.010540835443559179,0.004745434706524201,0.0017036213534268008,0.0029543161838881684,0.0013639264612027259,0.006099067383114076,0.0006999773536738518,0.019794947810512012,0.17700162641796882,0.01108640602804027,0.005327033537150269,0.0009212937228501431,0.005275564614086015,0.0005661581537067919,0.0008904123690115909,0.007972536182652914,0.00574907870627715,0.08702880200934676,0.0038498754452061844,0.07322483684351389,0.01677886891894674,0.0006690959998352995,0.00873427624400387,0.001487451876556935,0.0062534741523068375,0.017550902764910548,0.004513824552735059,0.006598315936837337,0.0002727852922405452,0.004179276552817409,0.0483447594342536,0.0072365305828340845,0.00043748584604615733,0.01657814011899615,0.009984971074465238,0.0008337965536409116,0.0011940790150906883,3.088135383855228e-05
46,,%,53.60%,58.40%,38.10%,61.40%,45.60%,55.30%,39.00%,56.10%,48.30%,41.10%,56.60%,58.80%,58.10%,28.00%,39.30%,40.70%,46.60%,61.80%,27.10%,49.30%,36.20%,54.30%,56.20%,52.20%,42.70%,50.40%,55.90%,36.70%,49.10%,41.30%,47.10%,55.70%,72.10%,55.50%,59.10%,19.60%,38.20%,46.70%,59.40%,40.30%,70.00%,41.70%,62.40%,48.80%,51.30%,43.20%,67.50%,51.50%,43.80%,53.80%,18.10%,15.80%
47,Age 65 and over,Est.,22254,0.0018873011593421407,0.0,0.008402983733261437,0.0024265300620113237,0.11512537071987058,0.007549204637368563,0.041925047182528985,0.0,0.007863754830592254,0.32290824121506245,0.013615529792396873,0.0,0.0,0.013570594050507773,0.0019322369012312393,0.003415116383571493,0.00013480722566729578,0.0,0.003145501932236901,0.004808124382133549,0.018962883077199604,0.07248135166711603,0.010245349150714478,0.001527815224229352,0.0012582007728947605,0.008672598184596028,0.0,0.0009436505796710703,0.005572031994248225,0.005886582187471915,0.08713040352296217,0.0013930079985620563,0.0890626404241934,0.017614810820526648,0.0,0.009751055989934395,0.0024265300620113237,0.005212546059135436,0.017614810820526648,0.006291003864473802,0.005886582187471915,0.0,0.0020221083850094365,0.041610496989305294,0.016491417273299183,0.001842365417453042,0.01334591534106228,0.005212546059135436,0.0012132650310056618,0.0004942931607800845,0.0011233935472274648
48,,%,6.10%,5.00%,0.00%,6.90%,11.00%,7.00%,6.00%,6.00%,0.00%,10.50%,9.90%,2.80%,0.00%,0.00%,5.80%,1.90%,10.70%,0.30%,0.00%,2.90%,28.50%,6.00%,2.60%,5.50%,1.40%,7.90%,10.50%,0.00%,6.00%,3.30%,5.50%,6.40%,3.00%,7.70%,7.10%,0.00%,4.90%,8.70%,5.70%,4.60%,11.20%,4.30%,0.00%,2.70%,5.10%,11.30%,32.50%,4.80%,2.60%,9.00%,0.90%,65.80%
49,Female,Est.,198344,0.0028132940749405074,0.0004991328197475094,0.00931210422296616,0.0013562295809301011,0.1031440325898439,0.007350865163554229,0.03933569959262695,0.0023696204573871657,0.005898842415197838,0.20780563062154642,0.03176299762029605,0.0032418424555318032,0.000776428830718348,0.013668172468035332,0.004940910740934942,0.0020368652442221595,0.002107449683378373,0.0016940265397491227,0.005082079619247368,0.0016738595571330617,0.020242608800871215,0.1593242044125358,0.01256907191546001,0.006624853789376033,0.0009730569112249425,0.005223248497559795,0.0002974629935868995,0.0007965958133344089,0.010169200984148752,0.005374500867180253,0.08291150728028072,0.002823377566248538,0.07255576170693341,0.01614366958415682,0.0015074819505505586,0.011016214254023313,0.0020973661920703425,0.004809825353930545,0.022395434195135722,0.003851893679667648,0.007199612793933771,0.000267212519662808,0.00470899044085024,0.05426935021982011,0.009438147864316541,0.000635259952405921,0.017746944702133668,0.012382527326261444,0.0010335578590731254,0.0035846811600048403,0.00015629411527447263
50,,%,54.70%,66.80%,31.10%,68.50%,54.60%,55.50%,51.90%,50.50%,59.80%,70.00%,56.50%,59.20%,63.00%,37.20%,52.00%,43.20%,56.80%,45.00%,34.40%,41.90%,88.30%,56.70%,51.60%,60.40%,54.20%,54.40%,56.50%,19.70%,44.90%,53.80%,45.00%,54.20%,53.90%,56.10%,58.10%,45.20%,49.20%,67.20%,46.70%,52.50%,61.00%,46.40%,62.40%,56.10%,58.80%,57.50%,100.00%,56.30%,55.50%,68.10%,55.50%,81.60%
51,Male,Est.,164054,0.0016884684311263365,0.001334926304753313,0.005175125263632706,0.0013654040742682287,0.09987565070037914,0.008222902215124289,0.046588318480500324,0.0019261950333426799,0.003053872505394565,0.1931193387543126,0.026497372816267815,0.002304119375327636,0.0015848440147756227,0.015251075865263877,0.007844977873139333,0.0018713350482158313,0.003114828044424397,0.003907250051812208,0.008521584356370463,0.00026820437173125924,0.018664586050934448,0.1804771599595255,0.00996013507747449,0.006766064832311312,0.0009874797322832725,0.0048642520145805645,0.0014690284906189427,0.0011825374571787339,0.010545308252160874,0.00795469784339303,0.08474039035927194,0.0029136747656259526,0.06862984139368744,0.01408072951589111,0.0022126860667828884,0.013775951820741952,0.0012373974423055822,0.006650249308154632,0.024516317797798285,0.002974630304655784,0.01003937727821327,0.00019505772489546126,0.0044497543491777095,0.04598485864410499,0.008448437709534665,0.0,0.01664086215514404,0.0120204322966828,0.0005851731746863838,0.0034744657247004034,4.2668877320882146e-05
52,,%,45.30%,33.20%,68.90%,31.50%,45.40%,44.50%,48.10%,49.50%,40.20%,30.00%,43.50%,40.80%,37.00%,62.80%,48.00%,56.80%,43.20%,55.00%,65.60%,58.10%,11.70%,43.30%,48.40%,39.60%,45.80%,45.60%,43.50%,80.30%,55.10%,46.20%,55.00%,45.80%,46.10%,43.90%,41.90%,54.80%,50.80%,32.80%,53.30%,47.50%,39.00%,53.60%,37.60%,43.90%,41.20%,42.50%,0.00%,43.70%,44.50%,31.90%,44.50%,18.40%
53,Married,Est.,198460,0.0019348987201451174,0.0008364405925627331,0.007795021666834627,0.002277537035170815,0.10274110652020559,0.0076539353018240455,0.04694648795727099,0.001294971278847123,0.0019752091101481405,0.2057694245691827,0.03164869495112365,0.0027159125264536936,0.001068225335080117,0.014481507608586113,0.005613221807920991,0.0011538849138365414,0.0030031240552252344,0.0013100876750982565,0.006691524740501865,0.0007507810138063086,0.019968759447747658,0.167106721757533,0.01357452383351809,0.007664012899324801,0.001456212838859216,0.005865161745439887,0.00038798750377909907,0.0006348886425476167,0.0070039302630252945,0.007220598609291545,0.08314017938123551,0.003018240451476368,0.06295979038597198,0.0148493399173637,0.0008817897813161342,0.008838053008162854,0.0017383855688803788,0.005159729920386979,0.022160636904162048,0.004807014007860526,0.009059760153179481,0.0004282978937821223,0.004474453290335584,0.05607679129295576,0.010102791494507709,0.0006348886425476167,0.020165272599012397,0.010601632570795123,0.000559306661291948,0.0016728811851254661,0.00012596996875944774
54,,%,54.80%,46.00%,52.20%,57.40%,91.70%,55.30%,54.10%,60.30%,32.70%,23.50%,56.00%,59.00%,52.80%,51.20%,55.10%,49.10%,32.20%,64.20%,26.60%,55.20%,39.60%,56.00%,54.20%,65.30%,62.70%,81.40%,63.50%,25.70%,35.80%,37.10%,60.40%,54.40%,57.70%,48.70%,53.50%,26.40%,39.50%,55.70%,50.10%,52.00%,76.20%,58.50%,100.00%,53.40%,60.80%,61.50%,100.00%,64.00%,47.50%,36.90%,25.90%,65.80%
55,Widowed,Est.,8669,0.0,0.0,0.008420809781981774,0.0,0.08293920867458761,0.002422424731802976,0.022263236820855924,0.0,0.0,0.31976006459799283,0.02145576191025493,0.010035759603183758,0.0,0.0171876802399354,0.0,0.008766870457953628,0.0,0.0,0.006690506402122505,0.01234283077632945,0.029184450340293,0.10197254585303957,0.0013842427038874149,0.0,0.0,0.0,0.0,0.0,0.0036913138770331066,0.0,0.10589456684738724,0.0,0.07682547006575152,0.035182835390471796,0.0,0.016034144653362555,0.0,0.008420809781981774,0.03529818894912908,0.010497173837812896,0.005075556580920521,0.0,0.0027684854077748297,0.025608490021917178,0.011304648748413889,0.0,0.01661091244664898,0.0,0.0004614142346291383,0.0014995962625446995,0.0
56,,%,2.40%,0.00%,0.00%,2.70%,0.00%,2.00%,0.70%,1.20%,0.00%,0.00%,3.80%,1.70%,8.50%,0.00%,2.90%,0.00%,10.70%,0.00%,0.00%,2.40%,28.50%,3.60%,1.40%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.00%,3.00%,0.00%,2.60%,5.50%,0.00%,3.10%,0.00%,3.60%,3.60%,7.30%,1.40%,0.00%,1.40%,1.20%,3.00%,0.00%,2.30%,0.00%,1.30%,1.00%,0.00%
57,Divorced,Est.,38311,0.0036543029417138682,0.0008613714076896975,0.0051160241183994155,0.0,0.12933622197280153,0.0030017488449792487,0.040171230194983164,0.0033671791391506356,0.002270888256636475,0.24058364438411944,0.028190336978935554,0.0040719375636240245,0.0003654302941713868,0.008300488110464358,0.0025580120591997078,0.0032888726475424814,0.0016444363237712407,0.0016705384876406254,0.0012790060295998539,0.001983764454073243,0.013547023048210696,0.166270783847981,0.00803946647177051,0.0028190336978935553,0.0007308605883427736,0.006995379916995119,0.0,0.0005481454412570802,0.016496567565451176,0.010597478530970218,0.06559473780376393,0.0071780950640808125,0.08031635822609694,0.020855628931638434,0.0,0.010519172039362062,0.0,0.013468716556602542,0.015034846388765628,0.00229699042050586,0.004176346219101563,0.0,0.0016966406515100101,0.039153245804077155,0.008561509749158204,0.0,0.008926940043329591,0.007856751324684816,0.00229699042050586,0.004150244055232179,0.00015661298321630862
58,,%,10.60%,16.80%,10.40%,7.30%,0.00%,13.40%,4.10%,10.00%,16.40%,5.20%,12.60%,10.10%,15.30%,3.40%,6.10%,4.30%,17.70%,6.80%,6.60%,2.00%,20.20%,7.30%,10.40%,7.50%,4.50%,7.90%,14.60%,0.00%,6.00%,16.90%,17.10%,8.30%,26.50%,12.00%,14.50%,0.00%,9.10%,0.00%,25.20%,6.80%,7.00%,5.20%,0.00%,3.90%,8.20%,10.10%,0.00%,5.50%,6.80%,29.20%,12.40%,15.80%
59,Separated,Est.,8783,0.002960264146646932,0.0,0.002732551519981783,0.0,0.10247068199931686,0.007856085619947627,0.04838893316634407,0.0013662757599908915,0.013548901286576341,0.1753387225321644,0.005465103039963566,0.0,0.0,0.004326539906637823,0.0,0.0,0.0,0.0,0.0013662757599908915,0.0,0.02755322782648298,0.2883980416714107,0.013435044973243767,0.0,0.0,0.0,0.0,0.0,0.008994648753273368,0.0,0.11932141637253786,0.0,0.08038255721279745,0.004098827279972675,0.0,0.0,0.0,0.0,0.01115791870659228,0.0,0.011954912899920301,0.0,0.005009677786633269,0.01696459068655357,0.010930206079927132,0.0,0.014232039166571786,0.02174655584652169,0.0,0.0,0.0
60,,%,2.40%,3.10%,0.00%,0.90%,0.00%,2.40%,2.50%,2.80%,1.50%,7.10%,2.10%,0.50%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,3.40%,4.10%,2.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%,3.50%,0.00%,2.80%,0.70%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,3.40%,0.00%,2.60%,0.80%,2.90%,0.00%,2.00%,4.30%,0.00%,0.00%,0.00%
61,Never married or < 15,Est.,108175,0.002634619828980818,0.0011000693321007626,0.007913103767044141,0.0003790154841691703,0.09132424312456668,0.01001155535012711,0.0367090362837994,0.0035867806794545876,0.009919112549110237,0.17132424312456668,0.02821354287034897,0.002209382944303212,0.0017379246591171713,0.016954009706494105,0.009752715507279871,0.0025883984284723826,0.002495955627455512,0.0060365149064016636,0.008865264617517911,0.00040674832447423157,0.01941298821354287,0.16878206609660273,0.009198058701178645,0.00734920268084123,0.00035128264386410907,0.003716200600878207,0.002061474462676219,0.0018950774208458517,0.014920268084122949,0.0049179570140975275,0.08660041599260458,0.0015160619366766813,0.08048070256528773,0.013173099144904091,0.004501964409521608,0.01986595793852554,0.0025329327478622603,0.003993529003928819,0.028527848393806333,0.0011000693321007626,0.008948463138433095,0.0,0.005944072105384793,0.04906863877975503,0.006757568754333257,0.0,0.015132886526461753,0.01693552114629073,0.0009059394499653339,0.007182805639010862,6.470996071180956e-05
62,,%,29.80%,34.10%,37.40%,31.80%,8.30%,26.80%,38.60%,25.70%,49.40%,64.20%,25.40%,28.70%,23.40%,45.40%,35.20%,46.50%,39.40%,29.10%,66.80%,39.90%,11.70%,29.70%,29.80%,24.10%,32.80%,10.70%,21.90%,74.30%,58.20%,43.10%,22.40%,30.90%,15.80%,33.90%,25.90%,73.60%,48.30%,44.30%,21.10%,36.50%,9.50%,31.50%,0.00%,38.60%,29.00%,22.40%,0.00%,26.20%,41.40%,32.60%,60.70%,18.40%
63,Naturalized Citizen,Est.,122952,0.002236645194872796,0.001309454095907346,0.008336586635434967,0.0010166569067603618,0.11863979439130717,0.007344329494436854,0.03385874162274709,0.0007726592491378749,0.002944238401978008,0.2394837009564708,0.024285900188691523,0.00382262996941896,0.000691326696597046,0.010207235343874032,0.005327282191424296,0.00339970069620665,0.0030174376992647537,0.0009597241199817815,0.0029605049124861735,0.0017161168586114907,0.018917951720996813,0.1387940009109246,0.009881905133710716,0.00598607586700501,0.0009678573752358644,0.006539137224282647,0.0,0.00045546229422864206,0.011467889908256881,0.0055550133385386165,0.08775782419155442,0.003847029735181209,0.08077949118355131,0.012940009109245884,0.000536794846769471,0.012948142364499968,0.0012118550328583512,0.0058722102934478495,0.015038388964799271,0.003716897651115883,0.008564317782549288,0.0,0.004326891795172099,0.049328193116012754,0.010459366256750601,0.0010247901620144446,0.01798262736677728,0.008507384995770707,0.0014070531589563406,0.002602641681306526,0.00025213091287656973
64,,%,33.90%,32.90%,50.60%,38.00%,25.40%,39.60%,32.20%,27.00%,12.10%,21.70%,40.40%,28.00%,46.00%,20.50%,24.10%,28.90%,58.80%,39.90%,12.10%,15.10%,56.10%,32.90%,27.90%,29.40%,30.40%,33.50%,43.80%,0.00%,15.90%,37.60%,28.80%,35.60%,45.60%,38.70%,28.90%,10.00%,35.80%,24.10%,35.30%,21.80%,36.50%,34.20%,0.00%,32.00%,33.10%,39.50%,100.00%,35.40%,23.60%,57.50%,25.00%,81.60%
65,American citizen,Est.,147881,0.002508773946619241,0.001643213124065972,0.011401058959568843,0.0017784570025899202,0.11591752828287609,0.008439218019894374,0.03315503682014593,0.0022518105774237394,0.0034892920659178664,0.22768306949506698,0.025933013706967087,0.004327804112766346,0.0010549022524867968,0.010900656609030234,0.006126547697134858,0.0028265970611505197,0.0026440178251431893,0.002312670322759516,0.004030267580013659,0.0014268229184276546,0.01797391145583273,0.12510734982857838,0.009406211751340605,0.007262596276736024,0.001169859549232153,0.006633712241599665,0.0006559328108411493,0.0009534693435938355,0.013598771985583003,0.005098694220352851,0.0858190031173714,0.005423279528810328,0.07988179685017006,0.014775393728741353,0.0004463047991290294,0.01240186366064606,0.002116566698899791,0.006126547697134858,0.01566800332699941,0.003090322624272219,0.007823858372610409,0.0,0.006369986678477965,0.0559977279028408,0.009642888538757515,0.0008520364347008744,0.020976325559064382,0.010359681094934441,0.001399774142722865,0.0029077433882648885,0.0002096280117121199
66,,%,40.80%,44.40%,76.40%,62.50%,53.30%,46.50%,44.50%,31.70%,42.40%,30.90%,46.20%,36.00%,62.70%,37.70%,30.90%,40.00%,58.80%,42.10%,35.00%,24.80%,56.10%,37.60%,30.20%,33.70%,44.30%,48.70%,53.50%,32.30%,40.10%,53.70%,31.80%,41.80%,77.30%,46.10%,39.60%,10.00%,41.30%,50.60%,44.30%,27.40%,36.50%,37.60%,0.00%,56.60%,45.20%,43.80%,100.00%,49.60%,34.60%,68.80%,33.60%,81.60%
67,Entered US before 1990,Est.,68151,0.0031694325835277546,0.0008070314448797523,0.013851594253936112,0.0028172734075802264,0.13437807222197767,0.007483382488884976,0.040087452862026966,0.0036243048524599785,0.007043183518950565,0.20750979442708103,0.016932987043476986,0.003096066088538686,0.00030813927895408723,0.013382048686006075,0.0052236944432216695,0.0011151707238338396,0.0013646168067966721,0.0016727560857507594,0.00466610908130475,0.0015700429927660636,0.02388813076844067,0.09051958151751258,0.011812005693240011,0.00538510073219762,0.000410852371938783,0.007321976199909026,0.0016140628897595047,0.0008070314448797523,0.006720370940998665,0.0006896450528972429,0.10153922906487066,0.006544291353024901,0.10633739783715573,0.013220642397030124,0.0,0.00853986001672756,0.0037710378424381154,0.009478951152587636,0.012560343942128509,0.0049155551642675824,0.006691024343003038,0.0,0.005414447330193247,0.049287611333656146,0.007292629601913399,0.0006016052589103608,0.028700972839723556,0.01192939208522252,0.002200994849672052,0.0013352702088010448,0.00036683247494534194
68,,%,18.80%,25.90%,17.30%,35.00%,38.90%,24.90%,18.20%,17.70%,31.40%,28.70%,19.40%,10.80%,20.70%,5.10%,17.50%,15.70%,10.70%,10.00%,11.70%,13.20%,28.50%,23.00%,10.10%,19.50%,15.10%,7.90%,27.20%,36.70%,15.60%,12.20%,2.00%,22.80%,43.00%,28.30%,16.30%,0.00%,13.10%,41.50%,31.60%,10.10%,26.80%,14.80%,0.00%,22.20%,18.30%,15.30%,32.50%,31.30%,18.40%,49.80%,7.10%,65.80%
69,Entered US 2000 or later,Est.,208415,0.0027445241465345583,0.0012619053331094211,0.005738550488208622,0.0011035674015785811,0.09366888179833505,0.009006069620708683,0.03992514934145815,0.0023606746155507043,0.004750137945925197,0.18458844133099825,0.03393229853897272,0.002389463330374493,0.0017033322937408536,0.017508336732001056,0.008396708490271814,0.0014058489072283666,0.003569800638149845,0.003608185591248231,0.006880502842885589,0.00042703260321953795,0.018223256483458485,0.18806707770553943,0.012950123551567785,0.008233572439603676,0.0011659429503634575,0.00405920879015426,0.000911642636086654,0.0014250413837775591,0.010085646426600772,0.008305544226663148,0.07103615382769954,0.0026485617637885947,0.058940095482570835,0.016265623875440827,0.003137969915793009,0.014322385624835064,0.0016217642684067846,0.005532231365304801,0.03140848787275388,0.002994026341674064,0.010104838903149966,0.00040784012667034525,0.0046781661588657245,0.05301441834800758,0.00927476429239738,0.00040784012667034525,0.014878967444761653,0.015291605690569296,0.0005757742964757815,0.005028428855888492,3.3586833961087254e-05
70,,%,57.50%,68.50%,82.70%,44.40%,46.70%,53.00%,66.90%,53.90%,62.60%,59.20%,52.80%,66.40%,48.80%,85.70%,70.00%,77.20%,41.20%,80.10%,77.00%,59.60%,23.70%,53.70%,64.00%,65.40%,70.80%,68.50%,46.10%,63.30%,84.40%,56.10%,73.00%,48.80%,53.20%,47.90%,61.50%,98.80%,67.20%,54.60%,56.40%,77.30%,49.80%,68.50%,100.00%,58.60%,60.40%,59.30%,67.50%,49.60%,72.00%,39.90%,81.80%,18.40%
71,Speaks English Less Than Very Well,Est.,53621,0.0005035340631469014,0.0,0.003879077227205759,0.0,0.04999906752951269,0.0023684750377650546,0.07219186512746871,0.0006340799313701721,0.0026855150034501406,0.20715764346058446,0.0221181999589713,0.0,0.0006340799313701721,0.0033755431640588576,0.00031703996568508607,0.0,0.0016038492381716118,0.0,0.009996083623953302,0.0,0.013110535051565618,0.2889353051975905,0.0027414632326886856,0.0010630163555323474,0.0012495104529941627,0.0,0.00037298819492363066,0.0007646257995934429,0.0068816321963409855,0.006042408757762817,0.12683463568378062,0.0,0.044068555230226965,0.02053300013054587,0.00048488465340071986,0.006191604035732269,0.000559482292385446,0.005408328826392645,0.03821264056992596,0.0034874396225359466,0.007105425113295164,0.0,0.0,0.028496298092165383,0.004121519553906119,0.0,0.006284851084463177,0.009380653102329311,0.0,0.00020514350720799687,0.0
72,,%,14.80%,3.20%,0.00%,7.70%,0.00%,7.30%,4.50%,25.10%,4.30%,8.60%,15.20%,11.10%,0.00%,8.20%,3.50%,0.70%,0.00%,9.30%,0.00%,22.30%,0.00%,9.90%,25.30%,3.60%,2.40%,18.90%,0.00%,6.70%,11.60%,9.80%,13.70%,22.40%,0.00%,9.20%,20.00%,3.90%,7.50%,4.80%,14.20%,24.20%,14.90%,12.40%,0.00%,0.00%,8.30%,6.80%,0.00%,5.40%,11.40%,0.00%,0.90%,0.00%
73,Less than high school,Est.,59698,0.0005360313578344333,0.0041877449830815105,0.004640021441254314,0.0006867901772253677,0.06487654527789875,0.006650139033133438,0.06733893932795068,0.002361888170457972,0.006013601795705049,0.1979128279004322,0.01958189554088914,0.0014740862340446917,0.001591343093570974,0.00740393313008811,0.004489262621863379,0.00031826861871419476,0.0031491842272772957,0.002026868571811451,0.009280042882508627,0.0,0.025913765955308386,0.2045462159536333,0.008894770344065129,0.007923213507990218,0.0,0.005980099835840397,0.0026131528694428624,0.0007872960568193239,0.017203256390498845,0.006382123354216221,0.10460986967737612,0.0009715568360749104,0.06635063151194345,0.011290160474387752,0.0017253509330295823,0.00973231934068143,0.0010888136956011926,0.005025293979697813,0.03842674796475594,0.0005192803779021073,0.00748768802974974,0.0,0.005477570437870616,0.03727093034942544,0.0071359174511708935,0.0,0.008308486046433717,0.009213038962779323,0.0,0.0004857784180374552,0.00011725685952628229
74,,%,16.50%,3.80%,78.60%,10.30%,8.30%,10.50%,14.10%,26.00%,17.90%,21.50%,16.20%,11.00%,8.60%,22.90%,8.50%,11.80%,2.70%,20.20%,12.40%,23.00%,0.00%,21.90%,19.90%,12.90%,19.50%,0.00%,19.50%,52.00%,13.40%,27.40%,16.10%,20.60%,5.60%,15.40%,12.20%,15.60%,13.10%,10.50%,14.70%,27.10%,2.50%,14.50%,0.00%,19.70%,12.20%,13.10%,0.00%,7.90%,12.40%,0.00%,2.30%,18.40%
75,HighSchool,Est.,94450,0.0002752779248279513,0.0001482265749073584,0.00621492853361567,0.0006246691371095818,0.047506617257808366,0.005622022233986236,0.04892535733192165,0.0006034939121228163,0.0016199047114875595,0.20728427739544733,0.029295923769190046,0.0021704605611434623,0.0002541026998411858,0.007199576495500265,0.005198517734250926,0.0004446797247220752,0.0006352567496029645,0.001725780836421387,0.0059396506087877185,0.0008046585494970884,0.01390153520381154,0.29280042350449975,0.004033880359978825,0.0018634197988353627,0.0002964531498147168,0.00031762837480148225,0.0,0.0005823186871360508,0.0047856008470089995,0.010640550555849657,0.12042350449973531,0.0012916887241926946,0.06802541026998411,0.009878242456326099,0.0,0.006818422445738486,0.000741132874536792,0.0008046585494970884,0.027506617257808366,0.00579142403388036,0.009941768131286395,0.0,0.0011011116993118052,0.022032821598729487,0.004002117522498677,0.0,0.009825304393859185,0.006151402858655374,0.0009740603493912123,0.0029751191106405506,0.0
76,,%,26.10%,3.10%,4.40%,21.80%,12.00%,12.20%,18.90%,29.90%,7.30%,9.20%,26.90%,26.00%,20.10%,5.80%,13.00%,21.70%,5.90%,6.50%,16.70%,23.30%,20.20%,18.60%,45.20%,9.20%,7.30%,7.90%,1.60%,0.00%,15.60%,12.10%,42.40%,37.50%,11.80%,25.00%,16.90%,0.00%,14.50%,11.30%,3.70%,30.70%,43.70%,30.50%,0.00%,6.30%,11.40%,11.60%,0.00%,14.80%,13.10%,30.60%,21.90%,0.00%
77,Bachelors Degree of Higher,Est.,121707,0.0039028157788787827,0.00017254553969779882,0.008249320088409048,0.0016104250371794557,0.1501967840797982,0.01050884501302308,0.02837141659888092,0.0012981997748691529,0.008487597262277437,0.20427748609365115,0.02879045576671843,0.002892191903505961,0.0006901821587911953,0.0212395342913719,0.008109640365796544,0.003952114504506725,0.00398498032159202,0.002366338830141241,0.0051024181024920505,0.0004929872562794252,0.02405777810643595,0.068319817266057,0.016843731256213693,0.01018018684217013,0.002062330022102262,0.009448922412022316,0.00037795689648089265,0.0007559137929617853,0.008126073274339191,0.0048312751115383665,0.05330835531234851,0.0030893868060177312,0.08535252697051114,0.01707379197581076,0.0017583212140632831,0.014773184779840107,0.0010434896924581165,0.009054532606998776,0.020656166038107916,0.004371153672344237,0.0073537265728347585,0.000698398613062519,0.0077563328321296225,0.0759282539213028,0.0125218763094974,0.0008380783356750228,0.02375376929839697,0.016285012365763678,0.0009777580582875265,0.0035002095195839186,0.00020541135678309383
