,,,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
13,Age 20 to 24,Est.,26740,0.0004487658937920718,0.0,0.007255048616305161,0.0011593118922961854,0.08171278982797307,0.02142857142857143,0.028421839940164548,0.0019446522064323112,0.004599850411368736,0.15531039640987285,0.05074794315632012,0.002580403889304413,0.0060583395661929695,0.0331338818249813,0.018100224382946895,0.006469708302169035,0.005983545250560957,0.015482423335826476,0.007816005983545251,0.0016454749439042632,0.007554225878833209,0.1449513836948392,0.009985041136873598,0.010059835452505609,0.0014210919970082275,0.0020942408376963353,0.0036649214659685864,0.0043754674644727,0.022849663425579658,0.0014958863126402393,0.05635751682872102,0.0008975317875841437,0.06099476439790576,0.018287210172026926,0.012528047868362004,0.029805534779356768,0.0005235602094240838,0.011780104712041885,0.024308152580403888,0.0038893044128646224,0.004450261780104712,0.0,0.006581899775617053,0.05905011219147345,0.010172026925953627,0.0,0.008676140613313389,0.016529543754674646,0.0008975317875841437,0.015519820493642483,0.0
14,,%,7.40%,1.40%,0.00%,7.20%,6.30%,5.90%,20.40%,4.90%,6.60%,7.40%,5.70%,12.70%,6.80%,39.10%,17.00%,21.30%,24.30%,17.20%,42.40%,8.70%,11.70%,2.90%,6.30%,6.50%,11.10%,10.70%,3.10%,32.70%,33.20%,16.30%,1.70%,5.00%,2.30%,6.40%,8.90%,50.60%,17.90%,2.30%,15.40%,7.70%,8.30%,3.90%,0.00%,10.60%,8.60%,8.30%,0.00%,3.70%,10.00%,8.00%,32.40%,0.00%
15,Age 25 to 29,Est.,37630,0.0038267339888386925,0.0,0.0023651342014350254,0.0018070688280627158,0.09569492426255648,0.007733191602444858,0.049162901939941536,0.0,0.0023651342014350254,0.17196385862343874,0.010443794844538931,0.0030560722827531225,0.0016476215785277703,0.018814775445123572,0.007547169811320755,0.0020993887855434495,0.0013818761626361944,0.0,0.01836300823810789,0.0023651342014350254,0.013446718044113739,0.16795110284347595,0.010310922136593143,0.005075737443529099,0.0002125963327132607,0.005713526441668881,0.0,0.0,0.017246877491363274,0.011028434759500398,0.10518203560988573,0.0011427052883337763,0.0640977943130481,0.006962529896359287,0.00047834174860483656,0.014057932500664363,0.0007175126229072549,0.0028434759500398617,0.037948445389317034,0.0015413234121711401,0.015705554079192136,0.0,0.003986181238373638,0.06436353972893967,0.008211533351049695,0.0,0.011373903800159447,0.022854105766675525,0.0011958543715120914,0.005713526441668881,0.0
16,,%,10.40%,17.20%,0.00%,3.30%,13.80%,9.80%,10.40%,12.00%,0.00%,5.30%,8.90%,3.70%,11.30%,15.00%,13.60%,12.50%,11.10%,5.60%,0.00%,28.70%,23.70%,7.10%,10.30%,9.40%,7.90%,2.30%,11.70%,0.00%,0.00%,17.30%,17.50%,13.00%,4.10%,9.40%,4.80%,2.70%,11.90%,4.40%,5.20%,16.90%,4.60%,19.20%,0.00%,9.00%,13.20%,9.50%,0.00%,6.80%,19.40%,15.00%,16.80%,0.00%
17,Age 30 to 34,Est.,50859,0.001946558131304194,0.0015336518610275468,0.005112172870091822,0.0014550030476415186,0.10761123891543287,0.007550286085058692,0.04720895023496333,0.0010224345740183645,0.004168387109459486,0.13946400833677422,0.02465640299651979,0.0036375076191037968,0.00047189288031616823,0.01834483572229104,0.002359464401580841,0.0003932440669301402,0.0009241235572858295,0.001966220334650701,0.0034605477889852335,0.0,0.026386676891012407,0.21724768477555595,0.012446174718338938,0.011423740144320573,0.002005544741343715,0.0021628423681157713,0.0,0.0,0.004384671346271063,0.007963192355335338,0.0804970605005997,0.002634735248431939,0.06612398985430307,0.013802866749247921,0.00025560864350459114,0.012583810141764486,0.0002162842368115771,0.004443657956310584,0.04081873414734855,0.0014353408442950117,0.015041585560077862,0.0006291905070882243,0.0030279793153620794,0.04465286379991742,0.010932185060657898,0.0,0.03065337501720443,0.00933954658959083,0.00027527084685109813,0.005328457106903399,0.0
18,,%,14.00%,11.90%,24.50%,9.60%,15.00%,14.90%,13.70%,15.50%,6.60%,12.70%,9.70%,11.80%,18.10%,5.80%,17.90%,5.30%,2.80%,5.10%,10.20%,7.30%,0.00%,19.00%,18.10%,15.30%,24.00%,28.70%,6.00%,0.00%,0.00%,6.00%,17.10%,13.50%,12.90%,13.10%,12.70%,2.00%,14.40%,1.80%,11.10%,24.50%,5.80%,24.90%,37.60%,9.30%,12.40%,17.10%,0.00%,24.90%,10.70%,4.70%,21.20%,0.00%
19,Age 35 to 39,Est.,47644,0.0005457140458399798,0.0,0.007619007639996642,0.0008395600705230459,0.12100159516413399,0.004197800352615229,0.037843170178826296,0.003442196289144488,0.004554613382587524,0.1898245319452607,0.021765594828309965,0.002371757199227605,0.0011543950969691882,0.009864830828645789,0.0037570313155906305,0.0027495592309629753,0.005226261439005961,0.0032113172697506506,0.007388128620602804,0.0,0.02031735370665771,0.21971287045588112,0.011543950969691881,0.004050877340273697,0.0016371421375199395,0.0007136260599445891,0.0009654940811015028,0.002182856183359919,0.01171186298379649,0.007094282595919738,0.08336831500293845,0.0028545042397783564,0.06313491730333305,0.01716900344219629,0.002728570229199899,0.009340105784568885,0.0,0.003127361262698346,0.021807572831836118,0.004554613382587524,0.0031903282679875745,0.001112417093443036,0.004008899336747545,0.04216690454201998,0.009004281756359667,0.0,0.01895306859205776,0.005478129460162875,0.0007136260599445891,0.0,0.0
20,,%,13.10%,3.10%,0.00%,13.50%,8.10%,15.60%,7.10%,11.70%,20.90%,13.00%,12.40%,9.70%,11.10%,13.30%,9.00%,7.90%,18.40%,26.80%,15.70%,14.60%,0.00%,13.70%,17.10%,13.30%,8.00%,22.00%,1.90%,15.30%,29.50%,14.90%,14.30%,13.10%,13.10%,11.70%,14.80%,19.60%,10.00%,0.00%,7.30%,12.30%,17.30%,4.90%,62.40%,11.50%,11.00%,13.20%,0.00%,14.40%,5.90%,11.30%,0.00%,0.00%
21,Age 40 to 44,Est.,42083,0.003469334410569589,0.0007366394981346387,0.008530760639688235,0.0025901195256992134,0.09065418339947247,0.008245609866216762,0.044911246821757005,0.001330703609533541,0.0016158543830050139,0.180191526269515,0.033410165625074255,0.0031604210726421597,0.00033267590238338524,0.00843571038186441,0.0043485492954399635,0.002994083121450467,0.002803982605802818,0.00040396359575125347,0.009861464249221776,0.0018059548986526625,0.02744576194662928,0.200746144523917,0.014542689447045126,0.007817883706009552,0.002400019010051565,0.003802010312952974,0.0,0.0008316897559584631,0.005251526744766295,0.0037307226195851056,0.09533540859729582,0.008221847301760806,0.0700758025806145,0.014257538673573652,0.0,0.007247582159066606,0.0,0.005489152389325856,0.026709122448494643,0.0044673621177197444,0.00929116270227883,0.0,0.0023287313166836963,0.05018653613097925,0.005394102131502032,0.0020198179787562676,0.010883254520827888,0.010598103747356414,0.0,0.0009505025782382435,0.00014257538673573652
22,,%,11.60%,17.50%,9.70%,13.30%,22.10%,10.40%,12.40%,12.20%,7.10%,4.10%,10.40%,13.20%,13.00%,3.40%,6.80%,8.10%,17.70%,12.70%,1.70%,17.20%,20.20%,16.30%,13.80%,14.80%,13.60%,28.50%,8.70%,0.00%,9.90%,5.90%,6.60%,13.20%,33.30%,11.50%,10.90%,0.00%,6.90%,0.00%,11.30%,13.30%,15.00%,12.70%,0.00%,5.90%,11.50%,7.00%,67.50%,7.30%,10.10%,0.00%,3.10%,15.80%
23,Age 45 to 49,Est.,36489,0.0065773246731891805,0.0015621146098824302,0.005426292855381073,0.0,0.09723478308531339,0.010085231165556744,0.04878182465948642,0.0016443311682972951,0.0022198470772013482,0.20600728986817946,0.040532763298528326,0.0032612568171229684,0.0,0.01954013538326619,0.003233851297651347,0.0,0.0038641782454986433,0.00043848831154594535,0.0025487133108608073,0.0016443311682972951,0.010934802269177013,0.18748115870536325,0.0070706240236783685,0.0035353120118391842,0.0,0.005070021102249993,0.0,0.0,0.005782564608512154,0.011702156814382417,0.09038340321740798,0.0006303269478472965,0.08854723341280935,0.01638850064402971,0.0,0.007536517854695936,0.0009317876620351339,0.007015812984735126,0.012168050645399983,0.0037271506481405354,0.003370878895009455,0.0,0.0065773246731891805,0.03817588862396887,0.005782564608512154,0.0,0.016635150319274303,0.013428704541094577,0.002521307791389186,0.0,0.0
24,,%,10.10%,28.70%,17.90%,7.30%,0.00%,9.60%,13.10%,11.50%,7.60%,4.80%,10.30%,13.90%,11.70%,0.00%,13.70%,5.20%,0.00%,15.20%,1.60%,3.90%,16.00%,5.60%,11.20%,6.30%,5.30%,0.00%,10.10%,0.00%,0.00%,5.60%,18.00%,10.90%,2.20%,12.60%,10.80%,0.00%,6.20%,5.50%,12.50%,5.20%,10.90%,4.00%,0.00%,14.40%,7.60%,6.50%,0.00%,9.70%,11.10%,30.60%,0.00%,0.00%
